,adjective,noun,article,adj_article,prob,is_multi_token
0,fat,hen,a,a,0.0007692363578826189,False
1,castle,puzzle,a,a,0.00023406266700476408,False
2,red,hexagon,a,a,0.0015365071594715118,False
3,red,dog,a,a,0.004816859029233456,False
4,glazed,window,a,a,0.000632548937574029,False
5,horned,viper,a,a,0.00011020706006092951,False
6,round,body,a,a,2.5790259314817376e-05,False
7,coral,reef,a,a,0.08158960938453674,False
8,girl,glass,a,a,3.9852220652392134e-05,False
9,pipe,cover,a,a,4.182397788099479e-06,False
10,elephant,mommy,a,an,4.318783794587944e-06,False
11,smiley,cake,a,a,0.00018079494475387037,False
12,yellow,slab,a,a,0.00026086848811246455,False
13,top,buckle,a,a,0.0025559216737747192,False
14,green,suit,a,a,0.0060931104235351086,False
15,green,chain,a,a,0.0028144842945039272,False
16,purple,scissors,,,0.0002852185280062258,False
17,purple,circle,a,a,0.00048296444583684206,False
18,roast,marshmallow,a,a,0.0020133722573518753,False
19,cookie,sheet,a,a,0.00021836314408574253,False
20,street,corner,a,a,0.03490610793232918,False
21,bath,tile,a,a,0.0004831513506360352,False
22,yellow,belt,a,a,0.0006615828024223447,False
23,green,horse,a,a,0.012422268278896809,False
24,bed,breakfast,a,a,0.0006939127924852073,False
25,woolly,sheep,a,a,9.647295651356033e-10,True
26,bald,head,a,a,0.0019728410989046097,False
27,brown,stick,a,a,0.00021268877026159316,False
28,bridge,piece,a,a,0.0006633943994529545,False
29,giant,fish,a,a,0.0024792244657874107,False
30,colored,ring,a,a,2.7805381250800565e-05,False
31,farm,vehicle,a,a,0.0036482953000813723,False
32,yellow,zucchini,a,a,6.738861429766985e-06,False
33,strawberry,oatmeal,,,0.0021147236693650484,False
34,garlic,powder,,,0.0021607144735753536,False
35,wooden,train,a,a,5.0934326282003894e-05,False
36,orange,pumpkin,a,an,0.00019451454863883555,False
37,pumpkin,face,a,a,1.5795541912666522e-05,False
38,toy,basket,a,a,0.00026739141321741045,False
39,outside,room,a,an,0.00011479092063382268,False
40,earth,worm,a,an,0.0007963923853822052,False
41,fat,body,a,a,0.00020332673739176244,False
42,bite,mark,a,a,0.00010596900392556563,False
43,snow,tire,a,a,0.0018352126935496926,False
44,red,bag,a,a,0.004400831647217274,False
45,bright,light,a,a,0.01893835887312889,False
46,football,game,a,a,0.002804623218253255,False
47,navy,stripe,a,a,0.0031389088835567236,False
48,ear,ring,a,an,5.565772517002188e-05,False
49,room,door,a,a,0.0023950189352035522,False
50,puzzle,piece,a,a,0.0008683641790412366,False
51,dark,screen,a,a,0.003491789335384965,False
52,bear,mask,a,a,0.00032313293195329607,False
53,blood,test,a,a,0.00043129490222781897,False
54,orange,necklace,a,an,0.0010727791814133525,False
55,pee,diaper,a,a,0.00010241915879305452,False
56,apple,head,a,an,0.000246870971750468,False
57,room,suite,a,a,0.0009116699220612645,False
58,strawberry,sauce,,,0.0065770563669502735,False
59,dictionary,publisher,a,a,2.4278804175992263e-06,False
60,giant,sandwich,a,a,0.0006874125101603568,False
61,riding,toy,a,a,2.6882707970798947e-05,False
62,purple,truck,a,a,0.00014119439583737403,False
63,baby,pool,a,a,3.92104520869907e-05,False
64,green,leaf,a,a,0.03126582130789757,False
65,back,side,a,a,0.002082559047266841,False
66,wet,shoe,a,a,0.0020857839845120907,False
67,turkey,sty,a,a,2.6693971449276432e-05,False
68,fridge,magnet,a,a,0.0028772202786058187,False
69,yellow,costume,a,a,0.0001368297089356929,False
70,gas,cooker,a,a,0.012648466043174267,False
71,mother,alligator,an,a,0.0008383440435864031,False
72,oval,triangle,a,an,0.00010654775542207062,False
73,green,tomato,a,a,0.024045975878834724,False
74,red,horse,a,a,0.008792747743427753,False
75,light,switch,a,a,0.05107071250677109,False
76,dead,ornament,an,a,1.0539924915065058e-05,False
77,pigeon,shit,,,8.530433660780545e-06,False
78,apple,slice,a,an,0.0017069196328520775,False
79,wet,girl,a,a,9.8569413239602e-05,False
80,candy,machine,a,a,8.670966781210154e-05,False
81,jam,pot,a,a,9.04454936971888e-05,False
82,lighting,hallway,a,a,5.116066404298181e-06,False
83,music,toy,a,a,0.00029814691515639424,False
84,kitchen,counter,a,a,0.005066521931439638,False
85,green,slide,a,a,0.0032447422854602337,False
86,steam,shovel,a,a,0.004387792199850082,False
87,baby,hippo,a,a,0.00029340150649659336,False
88,carrot,stick,a,a,0.001424248912371695,False
89,sleeve,shirt,a,a,0.0004396798904053867,False
90,goods,shop,a,a,0.00013285862223710865,False
91,file,drawer,a,a,0.00872453860938549,False
92,dirty,daddy,a,a,0.00011611821537371725,False
93,solid,smack,a,a,0.000103217716969084,False
94,balloon,streamer,a,a,0.00021819910034537315,False
95,foot,length,a,a,0.005039686802774668,False
96,dead,skin,,,0.0010991308372467756,False
97,sidewalk,chalk,,,5.914649227634072e-05,False
98,fat,bunny,a,a,0.000546647293958813,False
99,apple,tea,,,0.0009097986039705575,False
100,dirty,foot,a,a,0.00011671552783809602,False
101,record,run,a,a,4.584161069942638e-05,False
102,seaside,cart,a,a,1.0170864698011428e-05,False
103,round,globe,a,a,4.3709846067940816e-05,False
104,purple,onion,an,a,0.0030833662021905184,False
105,red,cookie,a,a,0.0002362850500503555,False
106,school,teacher,a,a,0.04792835935950279,False
107,dirty,water,,,0.005297817289829254,False
108,curling,brush,a,a,0.00018572871340438724,False
109,girl,kiss,a,a,2.9714214178966358e-05,False
110,brown,dirt,,,0.0414624884724617,False
111,circus,tent,a,a,0.0023066143039613962,False
112,hot,macaroni,,,0.0009597148164175451,False
113,dark,green,,,0.0003707214491441846,False
114,cinnamon,stick,a,a,0.00016803773178253323,False
115,ham,salad,a,a,0.007912996225059032,False
116,roast,lamb,a,a,0.00014772663416806608,False
117,school,girl,a,a,0.0037400375586003065,False
118,crispy,worm,a,a,1.847425149979776e-10,True
119,gold,weaver,a,a,6.01115680183284e-05,False
120,yellow,hoop,a,a,0.0008722805650904775,False
121,honey,pie,a,a,0.013448081910610199,False
122,pencil,show,a,a,4.832794365938753e-05,False
123,arrow,sign,a,an,0.000317915779305622,False
124,track,suit,a,a,0.0010158531367778778,False
125,train,gate,a,a,7.565138366771862e-05,False
126,red,notebook,a,a,0.0015859687700867653,False
127,oak,chest,a,an,3.3969556625379482e-06,False
128,navy,skirt,a,a,0.0048144180327653885,False
129,pink,robe,a,a,0.004791582934558392,False
130,thick,eyelash,an,a,0.0020641402807086706,False
131,slide,leg,a,a,0.00015662482473999262,False
132,cellar,door,a,a,0.0013440573820844293,False
133,maple,bar,a,a,0.00017224601469933987,False
134,motorway,bridge,a,a,0.00015984535275492817,False
135,cardboard,box,a,a,0.014855441637337208,False
136,freezing,road,a,a,1.0056030532723526e-06,False
137,orange,tea,,,0.0015084767946973443,False
138,statue,toy,a,a,3.3141586754936725e-05,False
139,crispy,brown,,,2.0736373638196174e-11,True
140,web,shooter,a,a,0.00023403950035572052,False
141,purple,bed,a,a,6.274444604059681e-05,False
142,wastepaper,basket,a,a,1.3495955611865366e-08,True
143,snow,leopard,a,a,0.46383136510849,False
144,back,flip,a,a,0.08145596832036972,False
145,purple,cup,a,a,0.0001111105375457555,False
146,peach,juice,,,0.004042739514261484,False
147,sweet,chocolate,,,0.019089674577116966,False
148,dark,line,a,a,2.376132943027187e-05,False
149,brown,egg,an,a,0.0002779601200018078,False
150,train,ride,a,a,0.0009937912691384554,False
151,red,room,a,a,0.002310987561941147,False
152,red,coral,,,0.02436513453722,False
153,dirty,tissue,a,a,1.0889456461882219e-05,False
154,orange,glasses,,,0.00013664730067830533,False
155,orange,tube,a,an,0.0003513939445838332,False
156,explorer,suit,a,an,4.83230032841675e-05,False
157,glass,table,a,a,0.0004955712356604636,False
158,colored,paper,a,a,0.00021685239335056394,False
159,trash,truck,a,a,0.0016690237680450082,False
160,fuzzy,slipper,a,a,0.00022252653434406966,False
161,bottom,tooth,a,a,0.0012226194376125932,False
162,girl,bed,a,a,0.0001387119118589908,False
163,tennis,court,a,a,0.0016171290772035718,False
164,boxing,glove,a,a,0.00967178214341402,False
165,hot,mom,a,a,7.48684469726868e-05,False
166,feather,mattress,a,a,0.00721817696467042,False
167,jelly,fish,a,a,0.0005304926307871938,False
168,tonic,water,,,0.00024123529146891087,False
169,dirty,bowl,a,a,0.00039058897527866066,False
170,dolphin,family,a,a,9.901013982016593e-06,False
171,stroller,toy,a,a,9.287286942082393e-11,True
172,green,tail,a,a,0.010326189920306206,False
173,silver,bell,a,a,0.003207368543371558,False
174,red,flag,a,a,0.00829263310879469,False
175,tattoo,heart,a,a,3.1920137644192437e-06,False
176,hot,water,,,0.04374399781227112,False
177,baby,penguin,a,a,6.570771074621007e-05,False
178,dress,piece,a,a,2.4935709006967954e-05,False
179,smiley,guy,a,a,4.2897176172118634e-05,False
180,hot,pepper,a,a,0.005416732281446457,False
181,farm,tractor,a,a,0.005749498028308153,False
182,curly,tail,a,a,0.0032426833640784025,False
183,oatmeal,pie,a,an,2.8763491750901446e-21,True
184,green,jacket,a,a,0.00985539611428976,False
185,back,porch,a,a,0.2053525298833847,False
186,thick,canopy,a,a,0.0008860576781444252,False
187,green,vegetable,a,a,0.03328783065080643,False
188,purple,cat,a,a,0.0012309961020946503,False
189,dead,mommy,a,a,4.166606595390476e-05,False
190,baby,elephant,an,a,0.003510141745209694,False
191,bottom,lip,a,a,0.01726442389190197,False
192,bird,cage,a,a,0.0010200655087828636,False
193,thick,clip,a,a,5.3971489251125604e-05,False
194,kitty,cat,a,a,0.0014480885583907366,False
195,office,phone,a,an,0.0017778787296265364,False
196,bottom,row,a,a,0.012181397527456284,False
197,brown,spot,a,a,0.001016481313854456,False
198,sun,lotion,,,0.006008675787597895,False
199,yellow,bill,a,a,9.994185529649258e-05,False
200,brown,bear,a,a,0.011052986606955528,False
201,garbage,can,a,a,3.16851437673904e-05,False
202,rice,cake,a,a,0.008814088068902493,False
203,dancing,bud,a,a,7.778815052006394e-05,False
204,hot,air,,,0.025167766958475113,False
205,wooden,puzzle,a,a,0.00034496630541980267,False
206,piano,piece,a,a,0.020500753074884415,False
207,yellow,hair,,,0.003027630038559437,False
208,bear,mama,a,a,0.00018918118439614773,False
209,pink,eyeball,an,a,0.00048045036965049803,False
210,smiley,girl,a,a,0.00014346427633427083,False
211,quarter,cup,a,a,1.9064841580984648e-06,False
212,cum,store,a,a,8.284531759272795e-06,False
213,marine,tank,a,a,0.00037520891055464745,False
214,teacher,day,a,a,1.1100707524747122e-05,False
215,green,edge,an,a,0.0009154562139883637,False
216,paint,can,a,a,4.233786603435874e-05,False
217,night,gown,a,a,0.007605316583067179,False
218,cartoon,ring,a,a,1.3607128494186327e-05,False
219,ski,pants,,,0.0013353269314393401,False
220,green,beard,a,a,0.00439456244930625,False
221,sugar,snack,a,a,8.493520726915449e-05,False
222,soup,kitchen,a,a,0.014827312901616096,False
223,queen,crab,a,a,0.0033011853229254484,False
224,snow,book,a,a,5.543804945773445e-06,False
225,hot,bowl,a,a,0.0018695045728236437,False
226,turtle,shell,a,a,0.0010160203091800213,False
227,night,dress,a,a,0.008351171389222145,False
228,snow,dog,a,a,0.0021352365147322416,False
229,dish,cloth,a,a,0.00047846740926615894,False
230,cylinder,gas,,,0.00012573740968946368,False
231,baby,stroller,a,a,0.022041935473680496,False
232,cursive,letter,a,a,5.201285039324602e-18,True
233,yellow,dragon,a,a,0.006851227022707462,False
234,grape,fruit,a,a,0.0005336857866495848,False
235,red,sweet,a,a,0.00013270010822452605,False
236,green,scooter,a,a,0.005734121892601252,False
237,yellow,duckling,a,a,1.6253598005278036e-05,False
238,orange,sticker,a,an,0.0018968518124893308,False
239,dirty,crayon,a,a,0.0003255179326515645,False
240,stone,cup,a,a,1.4423054381040856e-05,False
241,gold,ticket,a,a,0.0033603094052523375,False
242,girl,hood,a,a,0.0006872736266814172,False
243,giant,shadow,a,a,0.00044848493416793644,False
244,concrete,driveway,a,a,0.0006461711600422859,False
245,purple,dinosaur,a,a,0.0015538694569841027,False
246,cereal,box,a,a,0.0030954156536608934,False
247,moon,game,a,a,5.729522854380775e-06,False
248,girl,colors,a,a,3.881205429934198e-06,False
249,burnt,charcoal,,,0.0005082304123789072,False
250,train,station,a,a,0.011423001065850258,False
251,boy,sock,a,a,0.001972189638763666,False
252,wood,window,a,a,0.0001776025746949017,False
253,green,triceratops,a,a,0.0008009918965399265,False
254,thick,model,a,a,3.00270187381102e-07,False
255,bottom,stair,a,a,0.0007119052461348474,False
256,kettle,drum,a,a,7.927903061499819e-05,False
257,baby,bunny,a,a,0.0013701816787943244,False
258,closet,door,a,a,0.009477850049734116,False
259,brown,bread,,,0.0008626552298665047,False
260,corn,fan,a,a,6.336220849334495e-06,False
261,pink,noodle,a,a,0.001613528816960752,False
262,purple,bunny,a,a,5.94897719565779e-05,False
263,chip,cookie,a,a,0.00020624574972316623,False
264,green,airplane,an,a,0.0006993614952079952,False
265,corner,house,a,a,0.00034983406658284366,False
266,bottom,cupboard,a,a,0.00889922771602869,False
267,poison,berry,a,a,0.00017393472080584615,False
268,plastic,bottle,a,a,0.001350542763248086,False
269,pink,bubblegum,,,0.014433134347200394,False
270,yellow,pants,,,0.0013116272166371346,False
271,cell,phone,a,a,0.2683853805065155,False
272,yellow,overalls,,,0.00027816093643195927,False
273,fruit,sherry,,,5.789131137134973e-06,False
274,cellar,key,a,a,8.911860277294181e-06,False
275,tire,swing,a,a,0.0019515614258125424,False
276,mommy,squirrel,a,a,2.8631127406697487e-06,False
277,round,case,a,a,1.6026368029997684e-05,False
278,baby,food,,,0.008015056140720844,False
279,night,armadillo,an,a,0.00016253972717095166,False
280,orange,box,a,an,0.005086621735244989,False
281,back,alley,an,a,0.03155294433236122,False
282,paper,cup,a,a,0.0001618359237909317,False
