noun,adjective,wiki_similarity,ldp_similarity
hen,fat,0.37275874614715576,0.5751251578330994
body,fat,0.4853830933570862,0.3066200911998749
bunny,fat,0.4194057285785675,0.44228243827819824
elephant,fat,0.3706390857696533,0.2208520472049713
mama,fat,0.4665444493293762,-0.032232776284217834
tummy,fat,0.4460877478122711,0.2940441966056824
squirrel,fat,0.43401214480400085,0.36039528250694275
man,fat,0.46742987632751465,0.25096866488456726
lady,fat,0.4653998017311096,0.43751367926597595
piece,fat,0.34208178520202637,0.09133268892765045
head,fat,0.39885029196739197,0.07883750647306442
fryer,fat,0.4333484172821045,nan
boy,fat,0.45093777775764465,0.5118154287338257
worm,fat,0.35613885521888733,0.5244625210762024
roll,fat,0.4064120650291443,-0.1033717542886734
doctor,fat,0.36208823323249817,0.23707108199596405
face,fat,0.36911556124687195,0.21374300122261047
chap,fat,0.40054264664649963,nan
kiss,fat,0.36008498072624207,0.27949878573417664
lump,fat,0.3982914984226227,0.6197349429130554
cookie,fat,0.3888067901134491,0.26197147369384766
child,fat,0.3574828505516052,0.5945110321044922
brush,fat,0.37262746691703796,0.1210768073797226
piggy,fat,0.4781826138496399,0.41351744532585144
belly,fat,0.5515463352203369,0.34074440598487854
leg,fat,0.40848490595817566,0.21147339046001434
piggie,fat,0.509975016117096,0.5283839106559753
guy,fat,0.4149066209793091,0.3207731246948242
girl,fat,0.43662571907043457,0.5080177187919617
bird,fat,0.41606247425079346,0.3689521253108978
finger,fat,0.39614272117614746,0.07314971834421158
milk,fat,0.48110949993133545,0.02672191523015499
marker,fat,0.3193119168281555,0.3086671829223633
cat,fat,0.48016560077667236,0.3671901524066925
baby,fat,0.40669333934783936,0.2639393210411072
pig,fat,0.5556737184524536,0.4561823010444641
puzzle,castle,0.4012269675731659,0.4170534908771515
book,castle,0.414956271648407,0.35204774141311646
hexagon,red,0.3523561358451843,0.15622609853744507
dog,red,0.39441728591918945,0.2395736575126648
bag,red,0.37640130519866943,0.08749565482139587
horse,red,0.39946627616882324,0.33366936445236206
cookie,red,0.27436208724975586,0.3021180033683777
notebook,red,0.3309345841407776,0.24515967071056366
room,red,0.35922539234161377,0.019509099423885345
coral,red,0.40941739082336426,0.24411147832870483
flag,red,0.5239423513412476,0.3956094980239868
sweet,red,0.43303626775741577,0.21775341033935547
color,red,0.5827739238739014,0.4500529170036316
clay,red,0.4333176612854004,0.35202932357788086
scissors,red,0.3592919111251831,0.34768232703208923
stair,red,0.2633514106273651,0.13287435472011566
lobster,red,0.4348514676094055,0.3263314366340637
ice,red,0.37020158767700195,0.11795605719089508
wagon,red,0.3500179946422577,0.39928048849105835
ear,red,0.3001662492752075,0.15914389491081238
squirrel,red,0.44124868512153625,0.25751370191574097
dress,red,0.41351404786109924,0.13831691443920135
crayon,red,0.43720927834510803,0.6431010961532593
bin,red,0.3383910059928894,0.367828369140625
coat,red,0.44938087463378906,0.20472656190395355
nose,red,0.39792799949645996,0.19106516242027283
marker,red,0.41064393520355225,0.6013294458389282
house,red,0.3691006004810333,0.005505278706550598
controller,red,0.33060431480407715,0.26518523693084717
flower,red,0.41459745168685913,0.6698966026306152
heart,red,0.39360830187797546,0.21261262893676758
cup,red,0.3485945463180542,0.3171558976173401
panda,red,0.3808079659938812,0.27324721217155457
worm,red,0.3371961712837219,0.3656039237976074
meat,red,0.4886549711227417,0.19059839844703674
basket,red,0.3418310880661011,0.2306702882051468
light,red,0.5035218000411987,0.5688824653625488
balloon,red,0.36212238669395447,0.5064795017242432
knight,red,0.3641042709350586,0.3664102256298065
tie,red,0.4115639328956604,0.12010382860898972
phone,red,0.3412966728210449,0.017546406015753746
roof,red,0.4003736972808838,0.30469655990600586
cutter,red,0.24003063142299652,0.3195120394229889
pot,red,0.3867030739784241,0.40551459789276123
door,red,0.31823045015335083,0.11594046652317047
drum,red,0.3411352038383484,0.2334425151348114
towel,red,0.3898637294769287,0.23670780658721924
stripe,red,0.49958527088165283,0.5480788946151733
track,red,0.28057560324668884,0.37771663069725037
hole,red,0.41826027631759644,0.2920084595680237
top,red,0.4648708701133728,0.3311370611190796
ant,red,0.3771127462387085,0.4064020812511444
ladybug,red,0.3352394998073578,nan
wheel,red,0.38342195749282837,0.46715062856674194
brush,red,0.31075769662857056,0.08814141154289246
coloring,red,0.47821176052093506,0.06180486083030701
mouse,red,0.3457753360271454,0.3988593518733978
fence,red,0.3154712915420532,0.3976843059062958
airplane,red,0.2984654903411865,0.250913143157959
orange,red,0.7455445528030396,0.6549045443534851
triangle,red,0.4825074076652527,0.7099964022636414
jumper,red,0.3641258478164673,-0.0067331790924072266
broccoli,red,0.36843031644821167,0.33103373646736145
dragon,red,0.46928519010543823,0.4589892029762268
strawberry,red,0.4624450206756592,0.41734227538108826
side,red,0.4227539896965027,0.2584019899368286
caboose,red,0.28927722573280334,0.4468947947025299
bear,red,0.3463515639305115,0.2500181794166565
fruit,red,0.38997718691825867,0.09817489236593246
cake,red,0.36381909251213074,0.26676464080810547
popsicle,red,0.3507981300354004,0.34520965814590454
ball,red,0.3942251205444336,0.3266408145427704
bug,red,0.3125467002391815,0.19542744755744934
